n;V1;;;;;;;;;;
Abstract116;1;;;;;;;;;;
Abstract146;1;;;;;;;;;Etiquetas de fila;Cuenta de n
Abstract161;1;;;;;;;;;1;21
Abstract293;1;;;;;;;;;2;28
Abstract304;1;;;;;;;;;3;43
Abstract342;1;;;;;;;;;4;35
Abstract415;1;;;;;;;;;5;27
Abstract537;1;;;;;;;;;6;35
Abstract631;1;;;;;;;;;7;29
Abstract711;1;;;;;;;;;8;17
Abstract781;1;;;;;;;;;9;50
Abstract829;1;;;;;;;;;10;31
Abstract835;1;;;;;;;;;11;40
Abstract921;1;;;;;;;;;12;23
Abstract1373;1;;;;;;;;;13;28
Abstract1387;1;;;;;;;;;14;30
Abstract1388;1;;;;;;;;;15;20
Abstract1389;1;;;;;;;;;16;34
Abstract1392;1;;;;;;;;;17;45
Abstract1418;1;;;;;;;;;18;32
Abstract1420;1;;;;;;;;;19;39
Abstract48;2;;;;;;;;;20;42
Abstract123;2;;;;;;;;;21;29
Abstract131;2;;;;;;;;;22;34
Abstract147;2;;;;;;;;;23;20
Abstract185;2;;;;;;;;;24;31
Abstract206;2;;;;;;;;;25;22
Abstract247;2;;;;;;;;;26;36
Abstract296;2;;;;;;;;;27;34
Abstract303;2;;;;;;;;;28;36
Abstract420;2;;;;;;;;;29;24
Abstract511;2;;;;;;;;;30;34
Abstract570;2;;;;;;;;;31;40
Abstract639;2;;;;;;;;;32;45
Abstract744;2;;;;;;;;;33;59
Abstract806;2;;;;;;;;;34;26
Abstract871;2;;;;;;;;;35;29
Abstract936;2;;;;;;;;;36;27
Abstract972;2;;;;;;;;;37;45
Abstract1016;2;;;;;;;;;38;24
Abstract1023;2;;;;;;;;;39;38
Abstract1044;2;;;;;;;;;40;26
Abstract1045;2;;;;;;;;;41;43
Abstract1063;2;;;;;;;;;42;33
Abstract1099;2;;;;;;;;;43;19
Abstract1139;2;;;;;;;;;44;48
Abstract1181;2;;;;;;;;;45;30
Abstract1259;2;;;;;;;;;Total general;1481
Abstract1385;2;;;;;;;;;;
Abstract24;3;;;;;;;;;;
Abstract62;3;;;;;;;;;;
Abstract64;3;;;;;;;;;;
Abstract85;3;;;;;;;;;;
Abstract109;3;;;;;;;;;;
Abstract280;3;;;;;;;;;;
Abstract290;3;;;;;;;;;;
Abstract350;3;;;;;;;;;;
Abstract364;3;;;;;;;;;;
Abstract366;3;;;;;;;;;;
Abstract392;3;;;;;;;;;;
Abstract394;3;;;;;;;;;;
Abstract423;3;;;;;;;;;;
Abstract448;3;;;;;;;;;;
Abstract449;3;;;;;;;;;;
Abstract510;3;;;;;;;;;;
Abstract544;3;;;;;;;;;;
Abstract565;3;;;;;;;;;;
Abstract602;3;;;;;;;;;;
Abstract604;3;;;;;;;;;;
Abstract617;3;;;;;;;;;;
Abstract637;3;;;;;;;;;;
Abstract653;3;;;;;;;;;;
Abstract657;3;;;;;;;;;;
Abstract662;3;;;;;;;;;;
Abstract700;3;;;;;;;;;;
Abstract718;3;;;;;;;;;;
Abstract807;3;;;;;;;;;;
Abstract817;3;;;;;;;;;;
Abstract853;3;;;;;;;;;;
Abstract912;3;;;;;;;;;;
Abstract934;3;;;;;;;;;;
Abstract940;3;;;;;;;;;;
Abstract1048;3;;;;;;;;;;
Abstract1058;3;;;;;;;;;;
Abstract1065;3;;;;;;;;;;
Abstract1098;3;;;;;;;;;;
Abstract1125;3;;;;;;;;;;
Abstract1128;3;;;;;;;;;;
Abstract1205;3;;;;;;;;;;
Abstract1236;3;;;;;;;;;;
Abstract1366;3;;;;;;;;;;
Abstract1451;3;;;;;;;;;;
Abstract28;4;;;;;;;;;;
Abstract49;4;;;;;;;;;;
Abstract50;4;;;;;;;;;;
Abstract107;4;;;;;;;;;;
Abstract205;4;;;;;;;;;;
Abstract270;4;;;;;;;;;;
Abstract306;4;;;;;;;;;;
Abstract322;4;;;;;;;;;;
Abstract331;4;;;;;;;;;;
Abstract421;4;;;;;;;;;;
Abstract426;4;;;;;;;;;;
Abstract560;4;;;;;;;;;;
Abstract591;4;;;;;;;;;;
Abstract618;4;;;;;;;;;;
Abstract622;4;;;;;;;;;;
Abstract626;4;;;;;;;;;;
Abstract648;4;;;;;;;;;;
Abstract672;4;;;;;;;;;;
Abstract772;4;;;;;;;;;;
Abstract897;4;;;;;;;;;;
Abstract901;4;;;;;;;;;;
Abstract925;4;;;;;;;;;;
Abstract954;4;;;;;;;;;;
Abstract1057;4;;;;;;;;;;
Abstract1159;4;;;;;;;;;;
Abstract1184;4;;;;;;;;;;
Abstract1209;4;;;;;;;;;;
Abstract1246;4;;;;;;;;;;
Abstract1327;4;;;;;;;;;;
Abstract1331;4;;;;;;;;;;
Abstract1334;4;;;;;;;;;;
Abstract1335;4;;;;;;;;;;
Abstract1439;4;;;;;;;;;;
Abstract1477;4;;;;;;;;;;
Abstract1478;4;;;;;;;;;;
Abstract51;5;;;;;;;;;;
Abstract94;5;;;;;;;;;;
Abstract126;5;;;;;;;;;;
Abstract134;5;;;;;;;;;;
Abstract142;5;;;;;;;;;;
Abstract313;5;;;;;;;;;;
Abstract363;5;;;;;;;;;;
Abstract370;5;;;;;;;;;;
Abstract379;5;;;;;;;;;;
Abstract382;5;;;;;;;;;;
Abstract458;5;;;;;;;;;;
Abstract476;5;;;;;;;;;;
Abstract603;5;;;;;;;;;;
Abstract702;5;;;;;;;;;;
Abstract797;5;;;;;;;;;;
Abstract842;5;;;;;;;;;;
Abstract895;5;;;;;;;;;;
Abstract898;5;;;;;;;;;;
Abstract922;5;;;;;;;;;;
Abstract933;5;;;;;;;;;;
Abstract967;5;;;;;;;;;;
Abstract1037;5;;;;;;;;;;
Abstract1267;5;;;;;;;;;;
Abstract1273;5;;;;;;;;;;
Abstract1284;5;;;;;;;;;;
Abstract1408;5;;;;;;;;;;
Abstract1468;5;;;;;;;;;;
Abstract39;6;;;;;;;;;;
Abstract102;6;;;;;;;;;;
Abstract149;6;;;;;;;;;;
Abstract221;6;;;;;;;;;;
Abstract222;6;;;;;;;;;;
Abstract248;6;;;;;;;;;;
Abstract249;6;;;;;;;;;;
Abstract260;6;;;;;;;;;;
Abstract261;6;;;;;;;;;;
Abstract316;6;;;;;;;;;;
Abstract405;6;;;;;;;;;;
Abstract529;6;;;;;;;;;;
Abstract535;6;;;;;;;;;;
Abstract610;6;;;;;;;;;;
Abstract638;6;;;;;;;;;;
Abstract719;6;;;;;;;;;;
Abstract736;6;;;;;;;;;;
Abstract763;6;;;;;;;;;;
Abstract930;6;;;;;;;;;;
Abstract1035;6;;;;;;;;;;
Abstract1038;6;;;;;;;;;;
Abstract1040;6;;;;;;;;;;
Abstract1041;6;;;;;;;;;;
Abstract1047;6;;;;;;;;;;
Abstract1170;6;;;;;;;;;;
Abstract1185;6;;;;;;;;;;
Abstract1188;6;;;;;;;;;;
Abstract1200;6;;;;;;;;;;
Abstract1214;6;;;;;;;;;;
Abstract1254;6;;;;;;;;;;
Abstract1278;6;;;;;;;;;;
Abstract1296;6;;;;;;;;;;
Abstract1319;6;;;;;;;;;;
Abstract1411;6;;;;;;;;;;
Abstract1431;6;;;;;;;;;;
Abstract34;7;;;;;;;;;;
Abstract59;7;;;;;;;;;;
Abstract74;7;;;;;;;;;;
Abstract86;7;;;;;;;;;;
Abstract87;7;;;;;;;;;;
Abstract241;7;;;;;;;;;;
Abstract406;7;;;;;;;;;;
Abstract463;7;;;;;;;;;;
Abstract503;7;;;;;;;;;;
Abstract504;7;;;;;;;;;;
Abstract515;7;;;;;;;;;;
Abstract521;7;;;;;;;;;;
Abstract523;7;;;;;;;;;;
Abstract526;7;;;;;;;;;;
Abstract561;7;;;;;;;;;;
Abstract640;7;;;;;;;;;;
Abstract647;7;;;;;;;;;;
Abstract888;7;;;;;;;;;;
Abstract893;7;;;;;;;;;;
Abstract1094;7;;;;;;;;;;
Abstract1102;7;;;;;;;;;;
Abstract1119;7;;;;;;;;;;
Abstract1134;7;;;;;;;;;;
Abstract1141;7;;;;;;;;;;
Abstract1201;7;;;;;;;;;;
Abstract1210;7;;;;;;;;;;
Abstract1250;7;;;;;;;;;;
Abstract1283;7;;;;;;;;;;
Abstract1370;7;;;;;;;;;;
Abstract58;8;;;;;;;;;;
Abstract70;8;;;;;;;;;;
Abstract99;8;;;;;;;;;;
Abstract191;8;;;;;;;;;;
Abstract362;8;;;;;;;;;;
Abstract454;8;;;;;;;;;;
Abstract524;8;;;;;;;;;;
Abstract548;8;;;;;;;;;;
Abstract620;8;;;;;;;;;;
Abstract725;8;;;;;;;;;;
Abstract844;8;;;;;;;;;;
Abstract1215;8;;;;;;;;;;
Abstract1221;8;;;;;;;;;;
Abstract1312;8;;;;;;;;;;
Abstract1313;8;;;;;;;;;;
Abstract1377;8;;;;;;;;;;
Abstract1386;8;;;;;;;;;;
Abstract89;9;;;;;;;;;;
Abstract171;9;;;;;;;;;;
Abstract213;9;;;;;;;;;;
Abstract214;9;;;;;;;;;;
Abstract215;9;;;;;;;;;;
Abstract335;9;;;;;;;;;;
Abstract349;9;;;;;;;;;;
Abstract353;9;;;;;;;;;;
Abstract361;9;;;;;;;;;;
Abstract391;9;;;;;;;;;;
Abstract466;9;;;;;;;;;;
Abstract474;9;;;;;;;;;;
Abstract475;9;;;;;;;;;;
Abstract478;9;;;;;;;;;;
Abstract484;9;;;;;;;;;;
Abstract600;9;;;;;;;;;;
Abstract607;9;;;;;;;;;;
Abstract609;9;;;;;;;;;;
Abstract630;9;;;;;;;;;;
Abstract658;9;;;;;;;;;;
Abstract691;9;;;;;;;;;;
Abstract753;9;;;;;;;;;;
Abstract767;9;;;;;;;;;;
Abstract770;9;;;;;;;;;;
Abstract793;9;;;;;;;;;;
Abstract800;9;;;;;;;;;;
Abstract801;9;;;;;;;;;;
Abstract824;9;;;;;;;;;;
Abstract938;9;;;;;;;;;;
Abstract985;9;;;;;;;;;;
Abstract986;9;;;;;;;;;;
Abstract1084;9;;;;;;;;;;
Abstract1151;9;;;;;;;;;;
Abstract1196;9;;;;;;;;;;
Abstract1206;9;;;;;;;;;;
Abstract1256;9;;;;;;;;;;
Abstract1260;9;;;;;;;;;;
Abstract1303;9;;;;;;;;;;
Abstract1323;9;;;;;;;;;;
Abstract1336;9;;;;;;;;;;
Abstract1348;9;;;;;;;;;;
Abstract1371;9;;;;;;;;;;
Abstract1422;9;;;;;;;;;;
Abstract1438;9;;;;;;;;;;
Abstract1441;9;;;;;;;;;;
Abstract1444;9;;;;;;;;;;
Abstract1459;9;;;;;;;;;;
Abstract1464;9;;;;;;;;;;
Abstract1465;9;;;;;;;;;;
Abstract1467;9;;;;;;;;;;
Abstract7;10;;;;;;;;;;
Abstract33;10;;;;;;;;;;
Abstract84;10;;;;;;;;;;
Abstract91;10;;;;;;;;;;
Abstract103;10;;;;;;;;;;
Abstract139;10;;;;;;;;;;
Abstract255;10;;;;;;;;;;
Abstract354;10;;;;;;;;;;
Abstract455;10;;;;;;;;;;
Abstract568;10;;;;;;;;;;
Abstract628;10;;;;;;;;;;
Abstract667;10;;;;;;;;;;
Abstract670;10;;;;;;;;;;
Abstract688;10;;;;;;;;;;
Abstract697;10;;;;;;;;;;
Abstract699;10;;;;;;;;;;
Abstract733;10;;;;;;;;;;
Abstract741;10;;;;;;;;;;
Abstract929;10;;;;;;;;;;
Abstract1033;10;;;;;;;;;;
Abstract1121;10;;;;;;;;;;
Abstract1122;10;;;;;;;;;;
Abstract1154;10;;;;;;;;;;
Abstract1178;10;;;;;;;;;;
Abstract1193;10;;;;;;;;;;
Abstract1211;10;;;;;;;;;;
Abstract1258;10;;;;;;;;;;
Abstract1263;10;;;;;;;;;;
Abstract1298;10;;;;;;;;;;
Abstract1424;10;;;;;;;;;;
Abstract1474;10;;;;;;;;;;
Abstract254;11;;;;;;;;;;
Abstract312;11;;;;;;;;;;
Abstract314;11;;;;;;;;;;
Abstract355;11;;;;;;;;;;
Abstract357;11;;;;;;;;;;
Abstract412;11;;;;;;;;;;
Abstract422;11;;;;;;;;;;
Abstract451;11;;;;;;;;;;
Abstract469;11;;;;;;;;;;
Abstract470;11;;;;;;;;;;
Abstract471;11;;;;;;;;;;
Abstract472;11;;;;;;;;;;
Abstract479;11;;;;;;;;;;
Abstract497;11;;;;;;;;;;
Abstract499;11;;;;;;;;;;
Abstract541;11;;;;;;;;;;
Abstract579;11;;;;;;;;;;
Abstract595;11;;;;;;;;;;
Abstract654;11;;;;;;;;;;
Abstract656;11;;;;;;;;;;
Abstract668;11;;;;;;;;;;
Abstract679;11;;;;;;;;;;
Abstract680;11;;;;;;;;;;
Abstract903;11;;;;;;;;;;
Abstract978;11;;;;;;;;;;
Abstract980;11;;;;;;;;;;
Abstract988;11;;;;;;;;;;
Abstract1002;11;;;;;;;;;;
Abstract1007;11;;;;;;;;;;
Abstract1017;11;;;;;;;;;;
Abstract1042;11;;;;;;;;;;
Abstract1060;11;;;;;;;;;;
Abstract1328;11;;;;;;;;;;
Abstract1397;11;;;;;;;;;;
Abstract1401;11;;;;;;;;;;
Abstract1402;11;;;;;;;;;;
Abstract1403;11;;;;;;;;;;
Abstract1405;11;;;;;;;;;;
Abstract1413;11;;;;;;;;;;
Abstract1421;11;;;;;;;;;;
Abstract19;12;;;;;;;;;;
Abstract98;12;;;;;;;;;;
Abstract173;12;;;;;;;;;;
Abstract175;12;;;;;;;;;;
Abstract179;12;;;;;;;;;;
Abstract281;12;;;;;;;;;;
Abstract347;12;;;;;;;;;;
Abstract468;12;;;;;;;;;;
Abstract549;12;;;;;;;;;;
Abstract572;12;;;;;;;;;;
Abstract606;12;;;;;;;;;;
Abstract731;12;;;;;;;;;;
Abstract739;12;;;;;;;;;;
Abstract754;12;;;;;;;;;;
Abstract968;12;;;;;;;;;;
Abstract1111;12;;;;;;;;;;
Abstract1156;12;;;;;;;;;;
Abstract1227;12;;;;;;;;;;
Abstract1237;12;;;;;;;;;;
Abstract1257;12;;;;;;;;;;
Abstract1307;12;;;;;;;;;;
Abstract1311;12;;;;;;;;;;
Abstract1435;12;;;;;;;;;;
Abstract5;13;;;;;;;;;;
Abstract10;13;;;;;;;;;;
Abstract15;13;;;;;;;;;;
Abstract21;13;;;;;;;;;;
Abstract46;13;;;;;;;;;;
Abstract151;13;;;;;;;;;;
Abstract283;13;;;;;;;;;;
Abstract310;13;;;;;;;;;;
Abstract358;13;;;;;;;;;;
Abstract432;13;;;;;;;;;;
Abstract558;13;;;;;;;;;;
Abstract573;13;;;;;;;;;;
Abstract615;13;;;;;;;;;;
Abstract665;13;;;;;;;;;;
Abstract892;13;;;;;;;;;;
Abstract909;13;;;;;;;;;;
Abstract951;13;;;;;;;;;;
Abstract1055;13;;;;;;;;;;
Abstract1076;13;;;;;;;;;;
Abstract1120;13;;;;;;;;;;
Abstract1186;13;;;;;;;;;;
Abstract1229;13;;;;;;;;;;
Abstract1252;13;;;;;;;;;;
Abstract1253;13;;;;;;;;;;
Abstract1318;13;;;;;;;;;;
Abstract1353;13;;;;;;;;;;
Abstract1414;13;;;;;;;;;;
Abstract1479;13;;;;;;;;;;
Abstract14;14;;;;;;;;;;
Abstract35;14;;;;;;;;;;
Abstract36;14;;;;;;;;;;
Abstract42;14;;;;;;;;;;
Abstract60;14;;;;;;;;;;
Abstract115;14;;;;;;;;;;
Abstract287;14;;;;;;;;;;
Abstract339;14;;;;;;;;;;
Abstract390;14;;;;;;;;;;
Abstract632;14;;;;;;;;;;
Abstract678;14;;;;;;;;;;
Abstract782;14;;;;;;;;;;
Abstract809;14;;;;;;;;;;
Abstract840;14;;;;;;;;;;
Abstract841;14;;;;;;;;;;
Abstract943;14;;;;;;;;;;
Abstract1067;14;;;;;;;;;;
Abstract1096;14;;;;;;;;;;
Abstract1140;14;;;;;;;;;;
Abstract1142;14;;;;;;;;;;
Abstract1150;14;;;;;;;;;;
Abstract1179;14;;;;;;;;;;
Abstract1182;14;;;;;;;;;;
Abstract1195;14;;;;;;;;;;
Abstract1228;14;;;;;;;;;;
Abstract1314;14;;;;;;;;;;
Abstract1329;14;;;;;;;;;;
Abstract1339;14;;;;;;;;;;
Abstract1352;14;;;;;;;;;;
Abstract1391;14;;;;;;;;;;
Abstract6;15;;;;;;;;;;
Abstract158;15;;;;;;;;;;
Abstract198;15;;;;;;;;;;
Abstract318;15;;;;;;;;;;
Abstract441;15;;;;;;;;;;
Abstract460;15;;;;;;;;;;
Abstract482;15;;;;;;;;;;
Abstract552;15;;;;;;;;;;
Abstract581;15;;;;;;;;;;
Abstract634;15;;;;;;;;;;
Abstract751;15;;;;;;;;;;
Abstract821;15;;;;;;;;;;
Abstract878;15;;;;;;;;;;
Abstract932;15;;;;;;;;;;
Abstract1143;15;;;;;;;;;;
Abstract1192;15;;;;;;;;;;
Abstract1269;15;;;;;;;;;;
Abstract1360;15;;;;;;;;;;
Abstract1369;15;;;;;;;;;;
Abstract1463;15;;;;;;;;;;
Abstract32;16;;;;;;;;;;
Abstract100;16;;;;;;;;;;
Abstract128;16;;;;;;;;;;
Abstract129;16;;;;;;;;;;
Abstract159;16;;;;;;;;;;
Abstract180;16;;;;;;;;;;
Abstract212;16;;;;;;;;;;
Abstract317;16;;;;;;;;;;
Abstract320;16;;;;;;;;;;
Abstract321;16;;;;;;;;;;
Abstract402;16;;;;;;;;;;
Abstract438;16;;;;;;;;;;
Abstract492;16;;;;;;;;;;
Abstract645;16;;;;;;;;;;
Abstract677;16;;;;;;;;;;
Abstract710;16;;;;;;;;;;
Abstract717;16;;;;;;;;;;
Abstract791;16;;;;;;;;;;
Abstract836;16;;;;;;;;;;
Abstract1054;16;;;;;;;;;;
Abstract1056;16;;;;;;;;;;
Abstract1071;16;;;;;;;;;;
Abstract1072;16;;;;;;;;;;
Abstract1083;16;;;;;;;;;;
Abstract1087;16;;;;;;;;;;
Abstract1088;16;;;;;;;;;;
Abstract1089;16;;;;;;;;;;
Abstract1092;16;;;;;;;;;;
Abstract1093;16;;;;;;;;;;
Abstract1189;16;;;;;;;;;;
Abstract1240;16;;;;;;;;;;
Abstract1251;16;;;;;;;;;;
Abstract1354;16;;;;;;;;;;
Abstract1393;16;;;;;;;;;;
Abstract12;17;;;;;;;;;;
Abstract55;17;;;;;;;;;;
Abstract93;17;;;;;;;;;;
